"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","1975",21.58,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1976",20.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1977",18.39,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1978",19.79,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1979",20,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1980",18.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1981",18.25,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1982",20.82,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1983",19.16,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1984",18.67,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1985",19.61,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1986",18.85,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1987",18.52,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1988",18.79,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1989",18.59,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1990",18.18,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1991",16.02,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1992",14.26,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1993",13.22,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1994",14.41,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1995",14.48,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1997",15.25,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1998",13.24,
"AUS","WAGEGAP","EMPLOYEE","PC","A","1999",14.29,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2000",17.2,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2001",14.34,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2002",15,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2003",13.04,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2004",14.35,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2005",15.78,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2006",16.67,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2007",15.4,
