title,author,date,rating,text
A Brazilian masterwork,TheLittleSongbird,10 June 2017,10,"Such an amazing film that deserves the accolades and acclaimed hype it's garnered. One of the best foreign language films there is and one of the best films personally seen recently, after a long time of being on my to see list but taking a while to get round to it due to being so busy and going through a difficult phase."
The Godfather of Rio,SnoopyStyle,16 June 2015,8,"Li'l Zé and his gang is having fun chasing a runaway chicken in a Rio favela called the Cidade de Deus ""City of God"". The chicken comes to Rocket with his camera. Then flashbacks to the 60s tell the story of Rocket who becomes the photographer of his friends. Li'l Zé and his best friend Benny grow up to be the crime boss of the city. There's Carrot who is a criminal leader tolerated by Benny and there's Knockout Ned who turned away from crime."
Gangs of Rio,Decko_koji_obecava,17 May 2003,,"If you're unlucky to be born into a socially, economically and racially isolated community that has poverty, crime, drugs and violence as its everyday realities, the odds are stacked incredibly high against you. It literally takes so much effort, strength, struggle and plain ol' good fortune to simply avoid becoming a gangster, let alone do anything more with life. Most who find themselves in the situation described above never even enter this fight and out of those that do - only the rare ones succeed."
"Magnificent, gut-wrenching and utterly compelling",tjcclarke,26 October 2004,10,"Do not be fooled by the coy charm of the promotional poster. The image of the girl shyly leaning over to kiss the cheek of a bare-backed boy on golden sands drenched in sunlight represents an ideal that many residents of the City of God strive for, but few achieve."
Stunning - in every sense of the word,trelloskilos-1,18 December 2004,10,"Cidade de Deus seems to have a lot of praise on the IMDb boards, and with good reason too. It simply is, in my opinion, one of the best contemporary films ever made."
"Shocking, Stylish & Brutal Story",ccthemovieman-1,6 March 2006,8,"Wow, this is one of those different movies - meaning not run-of-mill by any means - and one of those which isn't pleasant to watch but one you might find yourself mesmerized by it."
One of the best unseen foreign films,panjshir_lion,30 March 2005,10,"I have seen this movie only recently (2005) and it's easily one of the better foreign films I have seen. Actually, it's probably just about one of the best films I had ever seen."
Down and dirty,kosmasp,2 April 2007,9,"This movie does not take any prisoners. Although I have not been into any ""favella"" (= ghetto) and I don't really know if the movie depicts it realistically, I do know that it is a gripping story. About kids growing up in a violent environment. Not that this movie is an action movie. It's a drama, with action scenes in it."
Cidade De Deus,ElChivoDave,8 January 2003,10,"The film, directed by Fernando Meirelles, tells the story of life in the slums of Rio de Janeiro, in an area known as the Cidade De Deus, the City of God.  The story is told from the narration of the young photographer, Rocket.  The different scenarios of life that make up the wider-story are presented in Pulp Fiction style chapters, complete with on-screen titles for each different story component.  The story covers all the facets of the life, charting the growth of several key members of the gangs from childhood through to young adulthood, with their transformation from young hoodlums to local drugs barons.  The final parts of the story focus on the battle within the Cidade De Deus between two different groups, when business and personal matters lead to an unavoidable confrontation.  And what a confrontation it is, although details will not be given away here.  The result is a powerful telling of life based around real-life events."
One of my top 10,michaelgs,26 November 2004,,"I have made an effort to watch all the movies in IMDb's top 100 rated list. As of now, I'm looking for a place where the DVD for Sunset Blvd. is (currently at #30). But this movie is one of the movies I've seen that's on the list. And I find it an amazing film (currently #5 on my top 10 list). What I enjoy about this film is the visual look of the film, but also the way the director puts you in the story. At the end of the film you have become friends with just about everyone in the film, even though some of the characters are very despicable people. The violence hits you in the chest like a load of bricks sometimes, especially when you recognize that many of the kids involved in the violence are right around 10 or 11, but you also realize that this reflects the culture of the slum these kids live in."
Raw and cult film,janicenichols-32565,28 September 2018,9,I agree with the other positive reviews here. I just saw this again after 15 years - still far exceeds anything made today when it comes to struggles of troubled youth in urban slums plagued by drugs and violence. So raw. So shocking to the system. Highly recommended!
The Other (Sad) Side of the Wonderful City of Rio de Janeiro,claudio_carvalho,1 November 2003,10,"The story begins in the present days, in a barbecue party in the slum of 'Cidade de Deus', with some bandits chasing a chicken. Then, a teenager called Buscapé (Alexandre Rodrigues) tells the story of the Cidade de Deus and the main characters of the movie (Zé Pequeno, Bené, Cenoura etc.), since they were kids."
Sprawling crime masterwork from Brazil,Leofwine_draca,17 February 2016,10,"Wow, what a great movie! I'd heard plenty about this low budget Brazilian gangster film before I got around to seeing it when it showed on television in the middle of the night, but I was fully prepared to be disappointed. Many times a film has been hyped up so much that it's a let down when I finally see it, but not so this one: CITY OF GOD is a tremendous film, a masterpiece in fact. In many ways it's like a lower budget, more realistic version of the classic gangster films made by the likes of Martin Scorcese and Guy Ritchie and in many places it equals the heights of those two directors at the top of their game."
